activity_name,average_heart_rate,total_time_seconds,total_distance_km,total_elevation_gain
Course à pied dans l'après-midi,160.1,3856,12.8039,121.0
Course à pied dans l'après-midi,151.4,1791,5.602,21.0
Trail le matin,150.1,6764,15.03,537.0
Course à pied en soirée,133.4,1966,4.7308,16.0
Evening Run,157.1,1968,6.7095,10.0
Course à pied dans l'après-midi,148.1,4198,6.6603,533.0
Course à pied dans l'après-midi,159.3,3217,10.0411,278.0
Course à pied dans l'après-midi,157.0,1307,4.651,7.0
Marathon de Toulouse 2024 !,154.3,13653,42.5585,107.0
W12 S1,131.5,1585,4.1202,12.0
W11 S4,152.3,2335,6.9541,10.0
W11 S3,133.0,1645,3.898,42.0
W11 S2,159.6,3316,11.2847,23.0
W11 S1,138.0,2705,7.137,29.0
W10 S4,155.4,5199,16.1206,78.0
W10 S3,141.6,2259,5.1668,29.0
W10 S2,147.6,3841,12.3315,26.0
W10 S1,138.2,3001,8.2315,25.0
W9 S4,151.9,10439,28.009,225.0
W9 S3,144.2,2851,8.5105,20.0
W9 S2,135.9,4506,12.951,21.0
Course à pied dans l'après-midi,147.0,3382,10.0205,106.0
W9 S1,158.4,4009,13.5127,20.0
Course à pied le midi,146.0,5401,16.1055,64.0
Course à pied dans l'après-midi,140.0,2694,7.431,28.0
10x1min @3’00 (plus ou moins),153.1,2961,9.4545,11.0
Course à pied le midi,148.0,2412,6.7925,14.0
Sortie (trop ?) longue du dimanche,151.5,8990,26.3228,299.0
Course à pied le midi,157.1,2159,6.8107,10.0
Course à pied le matin,147.0,4201,11.6555,30.0
Course à pied dans l'après-midi,149.7,3535,10.878,20.0
Course à pied le matin,149.9,6438,20.291,94.0
Course à pied le midi,140.3,3918,10.793,26.0
Course à pied dans l'après-midi,151.0,3600,11.656,21.0
Course à pied le matin,154.0,5798,17.4585,143.0
course à pied l'après midi,144.7,2155,6.8289,10.0
Course à pied dans l'après-midi,147.3,3644,10.251100000000001,51.8
Course à pied dans l'après-midi,155.9,2844,9.5014,13.5
Trail dans l'après-midi,147.5,5028,10.034,315.0
Course à pied dans l'après-midi,158.9,1593,5.3677,11.5
Course à pied dans l'après-midi,162.1,2601,8.1998,17.7
Course à pied en soirée,140.0,2786,8.129,11.2
Course à pied le matin,144.3,1911,5.3345,6.8
Course à pied dans l'après-midi,166.3,3626,10.3483,84.8
Course à pied en soirée,139.3,3335,8.164399999999999,64.7
Course à pied en soirée,145.8,2598,7.6075,4.9
Course à pied dans l'après-midi,164.5,2545,8.3756,17.8
Course à pied le matin,149.9,4143,7.7156,22.6
Course à pied le midi,163.6,3018,7.138,15.1
Course à pied le matin,162.1,2850,8.5879,50.6
Course à pied en soirée,168.8,1749,5.727600000000001,0.0
Course à pied en soirée,140.7,1131,3.1795999999999998,12.3
Course à pied dans l'après-midi,164.4,3772,10.1247,59.5
Course à pied en soirée,159.1,1280,4.1701999999999995,41.0
Course à pied le matin,167.1,8267,22.0243,299.8
Course à pied en soirée,168.9,2884,8.0344,118.2
Course à pied de nuit,171.2,1534,5.2809,53.9
Course à pied en soirée,136.4,1723,4.1884,3.7
Course à pied dans l'après-midi,N/A,6704,21.273400000000002,141.4
Night Run,N/A,1367,5.0009,7.2
Course à pied en soirée,167.7,3489,10.544,72.7
Course à pied en soirée,139.5,1443,3.8219000000000003,18.7
Course à pied le midi,165.7,4054,12.026399999999999,64.7
Course à pied le midi,132.3,3488,7.6164,47.3
Course à pied de nuit,166.4,1439,5.0317,18.8
Course à pied avec double J,156.3,4808,11.1346,60.2
Course à pied en soirée,163.8,2504,7.5862,45.3
La montre pete un cable,180.0,466,7.3507,10.5
Course à pied en soirée,177.2,1503,5.0353,40.4
Night Run,N/A,1374,5.0033,22.5
Morning Run,N/A,2108,5.9182,5.4
Course à pied dans l'après-midi,161.9,933,2.7941,22.6
Afternoon Run,N/A,2234,5.4422,85.4
Course à pied le matin,173.1,1594,4.721,28.8
Course à pied le matin,156.7,2503,7.2441,46.6
À la fraiche ,144.9,1751,4.3273,40.4
Course à pied en soirée,173.5,3847,12.7516,48.6
Afternoon Run,N/A,2063,5.5043,6.4
Avec le Val,151.5,1993,4.9496,31.2
Course à pied en soirée,156.8,2746,5.2902,39.9
Course à pied de nuit,158.6,427,1.807,0.0
Course à pied dans l'après-midi,171.6,1419,4.8122,4.5
Course à pied en soirée,163.7,935,2.4783000000000004,4.9
Course à pied dans l'après-midi,163.7,650,2.433,6.7
Course à pied l'après-midi,167.5,1148,3.9711999999999996,6.7
Course à pied l'après-midi,152.7,1141,3.9861,7.0
1ere sortie depuis rupture LCA,159.9,877,2.3808000000000002,7.2
Course à pied le soir,164.5,1898,4.9976,56.3
Course à pied matinale,153.2,3966,9.8348,2.3
Course à pied l'après-midi,163.2,2576,7.9901,80.1
Course à pied l'après-midi,166.4,3149,8.5767,48.6
Course à pied le midi,179.7,2699,8.0132,52.1
Course à pied matinale,173.3,2950,10.0535,55.0
Course à pied l'après-midi,167.0,2684,7.9235,122.5
Course à pied le soir,172.0,5094,8.6004,8.4
Course à pied l'après-midi,162.1,2536,8.6105,122.5
Course à pied l'après-midi,147.3,2859,8.1372,86.1
Course à pied le soir,174.5,4005,13.046100000000001,68.6
Course à pied l'après-midi,164.5,2443,6.7998,98.0
